image_path,disease_name,fertilizer_recommendation,description
images/leaf_228.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_229.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_230.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_231.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_232.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_233.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_234.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_235.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_236.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_237.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_238.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_239.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_240.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_241.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_242.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_243.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_244.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_245.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_246.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_247.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_248.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_249.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_250.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_251.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_252.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_253.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_254.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_255.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_256.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_257.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_258.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_259.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_260.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_261.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_262.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_263.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_264.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_265.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_266.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_267.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_268.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_269.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_270.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_271.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_272.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_273.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_274.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_275.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_276.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_277.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_278.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_279.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_280.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_281.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_282.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_283.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_284.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_285.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_286.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_287.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_288.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_289.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_290.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_291.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_292.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_293.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_294.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_295.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_296.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_297.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_298.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_299.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_300.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_301.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_302.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_303.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_304.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_305.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_306.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_307.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_308.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_309.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_310.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_311.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_312.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_313.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_314.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_315.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_316.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_317.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_318.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_319.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_320.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_321.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_322.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_323.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_324.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_325.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_326.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_327.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_328.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_329.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_330.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_331.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_332.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_333.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_334.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_335.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_336.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_337.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_338.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_339.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_340.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_341.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_342.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_343.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_344.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_345.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_346.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_347.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_348.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_349.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_350.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_351.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_352.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_353.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_354.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_355.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_356.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_357.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_358.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_359.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_360.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_361.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_362.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_363.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_364.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_365.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_366.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_367.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_368.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_369.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_370.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_371.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_372.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_373.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_374.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_375.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_376.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_377.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_378.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_379.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_380.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_381.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_382.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_383.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_384.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_385.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_386.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_387.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_388.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_389.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_390.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_391.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_392.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_393.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_394.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_395.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_396.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_397.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_398.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_399.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_400.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_401.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_402.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_403.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_404.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_405.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_406.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_407.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_408.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_409.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_410.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_411.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_412.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_413.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_414.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_415.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_416.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_417.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_418.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_419.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_420.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_421.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_422.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_423.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_424.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_425.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_426.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_427.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_428.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_429.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_430.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_431.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_432.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_433.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_434.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_435.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_436.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_437.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_438.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_439.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_440.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_441.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_442.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_443.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_444.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_445.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_446.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_447.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_448.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_449.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_450.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_451.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_452.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_453.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
